(44,),(23,),15
(11,),(28,),15
(28,),(11,),15
(18,),(45,),15
(45,),(18,),15
(19,),(42,),15
(42,),(19,),15
(11,),(15,),15
(15,),(11,),15
(1,),(18,),15
(18,),(1,),15
(19,),(20,),15
(20,),(19,),15
(13,),(25,),14
(25,),(13,),14
(14,),(40,),14
(40,),(14,),14
(16,),(40,),14
(24,),(40,),14
(40,),(16,),14
(40,),(24,),14
(15,),(42,),14
(42,),(15,),14
(8,),(34,),14
(25,),(34,),14
(25,),(37,),14
(34,),(8,),14
(34,),(25,),14
(37,),(25,),14
(2,),(4,),14
(4,),(2,),14
(16,),(17,),14
(17,),(16,),14
(25,),(33,),14
(33,),(25,),14
(7,),(37,),14
(7,),(42,),14
(37,),(7,),14
(42,),(7,),14
(2,),(11,),14
(11,),(2,),14
(2,),(33,),14
(6,),(31,),14
(31,),(6,),14
(33,),(2,),14
(4,),(37,),14
(37,),(4,),14
(6,),(37,),14
(37,),(6,),14
(17,),(32,),14
(32,),(17,),14
(3,),(13,),14
(13,),(3,),14
(30,),(43,),14
(43,),(30,),14
(10,),(18,),14
(18,),(10,),14
(20,),(30,),14
(30,),(20,),14
(5,),(42,),14
(13,),(18,),14
(18,),(13,),14
(42,),(5,),14
(7,),(43,),14
(7,),(29,),14
(8,),(43,),14
(27,),(29,),14
(29,),(7,),14
(29,),(27,),14
(43,),(7,),14
(43,),(8,),14
(21,),(26,),14
(26,),(21,),14
(5,),(25,),14
(25,),(5,),14
(20,),(43,),14
(43,),(20,),14
(23,),(35,),14
(35,),(37,),14
(35,),(23,),14
(37,),(35,),14
(13,),(40,),14
(40,),(13,),14
(8,),(44,),14
(17,),(35,),14
(17,),(44,),14
(20,),(36,),14
(35,),(17,),14
(36,),(44,),14
(36,),(20,),14
(44,),(36,),14
(44,),(8,),14
(44,),(17,),14
(32,),(33,),14
(32,),(40,),14
(33,),(32,),14
(40,),(32,),14
(27,),(37,),14
(37,),(27,),14
(17,),(30,),14
(30,),(17,),14
(13,),(15,),14
(15,),(43,),14
(15,),(13,),14
(43,),(15,),14
(17,),(19,),14
(19,),(17,),14
(1,),(27,),14
(27,),(1,),14
(8,),(31,),14
(31,),(8,),14
(14,),(36,),14
(14,),(45,),14
(36,),(45,),14
(36,),(14,),14
(45,),(36,),14
(45,),(14,),14
(2,),(20,),14
